n,prime,is_mersenne,ms
1,1000000000000000003,0,0.027
2,1000000000000000009,0,0.012
3,1000000000000000031,0,0.010
4,1000000000000000079,0,0.015
5,1000000000000000183,0,0.019
6,1000000000000000201,0,0.014
7,1000000000000000283,0,0.017
8,1000000000000000381,0,0.018
9,1000000000000000523,0,0.023
10,1000000000000000583,0,0.010
11,1000000000000000603,0,0.006
12,1000000000000000619,0,0.011
13,1000000000000000621,0,0.008
14,1000000000000000799,0,0.029
15,1000000000000000841,0,0.011
16,1000000000000000861,0,0.011
17,1000000000000000877,0,0.006
18,1000000000000000913,0,0.009
19,1000000000000000931,0,0.010
20,1000000000000000997,0,0.012
21,1000000000000001093,0,0.019
22,1000000000000001191,0,0.019
23,1000000000000001267,0,0.012
24,1000000000000001323,0,0.012
25,1000000000000001359,0,0.012
26,1000000000000001453,0,0.015
27,1000000000000001459,0,0.009
28,1000000000000001537,0,0.014
29,1000000000000001563,0,0.007
30,1000000000000001593,0,0.009
31,1000000000000001659,0,0.017
32,1000000000000001683,0,0.007
33,1000000000000001729,0,0.014
34,1000000000000001743,0,0.006
35,1000000000000001771,0,0.010
36,1000000000000001879,0,0.020
37,1000000000000001953,0,0.015
38,1000000000000002049,0,0.019
39,1000000000000002137,0,0.014
40,1000000000000002271,0,0.023
41,1000000000000002319,0,0.013
42,1000000000000002481,0,0.026
43,1000000000000002493,0,0.006
44,1000000000000002497,0,0.005
45,1000000000000002509,0,0.009
46,1000000000000002539,0,0.011
47,1000000000000002557,0,0.008
48,1000000000000002587,0,0.009
49,1000000000000002611,0,0.010
50,1000000000000002679,0,0.015
51,1000000000000002851,0,0.025
52,1000000000000002857,0,0.006
53,1000000000000002901,0,0.013
54,1000000000000002931,0,0.013
55,1000000000000002961,0,0.011
56,1000000000000003111,0,0.024
57,1000000000000003129,0,0.009
58,1000000000000003139,0,0.009
59,1000000000000003187,0,0.010
60,1000000000000003201,0,0.009
61,1000000000000003271,0,0.015
62,1000000000000003279,0,0.009
63,1000000000000003337,0,0.010
64,1000000000000003339,0,0.008
65,1000000000000003423,0,0.014
66,1000000000000003489,0,0.014
67,1000000000000003493,0,0.006
68,1000000000000003529,0,0.012
69,1000000000000003621,0,0.019
70,1000000000000003643,0,0.008
71,1000000000000003661,0,0.008
72,1000000000000003669,0,0.008
73,1000000000000003733,0,0.013
74,1000000000000003811,0,0.016
75,1000000000000003813,0,0.006
76,1000000000000003973,0,0.023
77,1000000000000004071,0,0.020
78,1000000000000004083,0,0.006
79,1000000000000004117,0,0.009
80,1000000000000004189,0,0.016
81,1000000000000004209,0,0.010
82,1000000000000004231,0,0.010
83,1000000000000004383,0,0.021
84,1000000000000004387,0,0.005
85,1000000000000004413,0,0.009
86,1000000000000004447,0,0.009
87,1000000000000004449,0,0.008
88,1000000000000004477,0,0.007
89,1000000000000004503,0,0.008
90,1000000000000004551,0,0.012
91,1000000000000004561,0,0.008
92,1000000000000004573,0,0.007
93,1000000000000004599,0,0.012
94,1000000000000004671,0,0.015
95,1000000000000004777,0,0.017
96,1000000000000004803,0,0.007
97,1000000000000004879,0,0.017
98,1000000000000004981,0,0.020
99,1000000000000004989,0,0.010
100,1000000000000005029,0,0.013
101,1000000000000005079,0,0.013
102,1000000000000005101,0,0.011
103,1000000000000005139,0,0.010
104,1000000000000005209,0,0.015
105,1000000000000005227,0,0.007
106,1000000000000005271,0,0.014
107,1000000000000005359,0,0.017
108,1000000000000005377,0,0.007
109,1000000000000005383,0,0.006
110,1000000000000005421,0,0.011
111,1000000000000005451,0,0.011
112,1000000000000005539,0,0.017
113,1000000000000005551,0,0.008
114,1000000000000005583,0,0.009
115,1000000000000005611,0,0.010
116,1000000000000005647,0,0.009
117,1000000000000005673,0,0.007
118,1000000000000005733,0,0.014
119,1000000000000005743,0,0.005
120,1000000000000005749,0,0.009
121,1000000000000005857,0,0.018
122,1000000000000005989,0,0.021
123,1000000000000006021,0,0.012
124,1000000000000006039,0,0.009
125,1000000000000006069,0,0.010
126,1000000000000006091,0,0.010
127,1000000000000006123,0,0.008
128,1000000000000006153,0,0.010
129,1000000000000006163,0,0.006
130,1000000000000006171,0,0.009
131,1000000000000006249,0,0.015
132,1000000000000006283,0,0.011
133,1000000000000006301,0,0.009
134,1000000000000006337,0,0.010
135,1000000000000006391,0,0.014
136,1000000000000006429,0,0.011
137,1000000000000006501,0,0.016
138,1000000000000006591,0,0.019
139,1000000000000006631,0,0.012
140,1000000000000006633,0,0.006
141,1000000000000006787,0,0.025
142,1000000000000006829,0,0.011
143,1000000000000006849,0,0.010
144,1000000000000006871,0,0.009
145,1000000000000006933,0,0.012
146,1000000000000006939,0,0.008
147,1000000000000007011,0,0.018
148,1000000000000007063,0,0.010
149,1000000000000007101,0,0.013
150,1000000000000007179,0,0.015
151,1000000000000007243,0,0.014
152,1000000000000007249,0,0.008
153,1000000000000007269,0,0.010
154,1000000000000007327,0,0.011
155,1000000000000007393,0,0.012
156,1000000000000007453,0,0.011
157,1000000000000007509,0,0.013
158,1000000000000007551,0,0.011
159,1000000000000007641,0,0.017
160,1000000000000007681,0,0.011
161,1000000000000007683,0,0.005
162,1000000000000007753,0,0.014
163,1000000000000007777,0,0.007
164,1000000000000007813,0,0.010
165,1000000000000007863,0,0.011
166,1000000000000007933,0,0.013
167,1000000000000008103,0,0.025
168,1000000000000008113,0,0.008
169,1000000000000008233,0,0.019
170,1000000000000008299,0,0.014
171,1000000000000008379,0,0.016
172,1000000000000008461,0,0.018
173,1000000000000008479,0,0.009
174,1000000000000008481,0,0.008
175,1000000000000008523,0,0.008
176,1000000000000008617,0,0.017
177,1000000000000008659,0,0.013
178,1000000000000008661,0,0.008
179,1000000000000008673,0,0.007
180,1000000000000008871,0,0.029
181,1000000000000008883,0,0.006
182,1000000000000008899,0,0.009
183,1000000000000008901,0,0.008
184,1000000000000008919,0,0.010
185,1000000000000008991,0,0.017
186,1000000000000009037,0,0.010
187,1000000000000009103,0,0.013
188,1000000000000009153,0,0.011
189,1000000000000009181,0,0.011
190,1000000000000009213,0,0.009
191,1000000000000009259,0,0.013
192,1000000000000009319,0,0.015
193,1000000000000009343,0,0.007
194,1000000000000009381,0,0.012
195,1000000000000009441,0,0.015
196,1000000000000009483,0,0.010
197,1000000000000009553,0,0.014
198,1000000000000009583,0,0.008
199,1000000000000009639,0,0.013
200,1000000000000009667,0,0.009
201,1000000000000009691,0,0.009
202,1000000000000009721,0,0.011
203,1000000000000009753,0,0.009
204,1000000000000009769,0,0.009
205,1000000000000009793,0,0.008
206,1000000000000009829,0,0.011
207,1000000000000009849,0,0.012
208,1000000000000009909,0,0.016
209,1000000000000009919,0,0.009
210,1000000000000009951,0,0.012
211,1000000000000009997,0,0.009
212,1000000000000010011,0,0.011
213,1000000000000010039,0,0.010
214,1000000000000010071,0,0.012
215,1000000000000010099,0,0.010
216,1000000000000010147,0,0.009
217,1000000000000010161,0,0.010
218,1000000000000010173,0,0.006
219,1000000000000010201,0,0.010
220,1000000000000010393,0,0.029
221,1000000000000010447,0,0.010
222,1000000000000010483,0,0.010
223,1000000000000010621,0,0.022
224,1000000000000010629,0,0.009
225,1000000000000010651,0,0.009
226,1000000000000010689,0,0.011
227,1000000000000010699,0,0.009
228,1000000000000010719,0,0.010
229,1000000000000010861,0,0.025
230,1000000000000010879,0,0.009
231,1000000000000010921,0,0.013
232,1000000000000011091,0,0.027
233,1000000000000011113,0,0.007
234,1000000000000011151,0,0.011
235,1000000000000011181,0,0.011
236,1000000000000011193,0,0.007
237,1000000000000011251,0,0.014
238,1000000000000011289,0,0.013
239,1000000000000011301,0,0.009
240,1000000000000011407,0,0.019
241,1000000000000011433,0,0.007
242,1000000000000011449,0,0.009
243,1000000000000011481,0,0.011
244,1000000000000011529,0,0.014
245,1000000000000011557,0,0.009
246,1000000000000011713,0,0.021
247,1000000000000011739,0,0.011
248,1000000000000011763,0,0.007
249,1000000000000011781,0,0.009
250,1000000000000011947,0,0.022
251,1000000000000011949,0,0.009
252,1000000000000011973,0,0.008
253,1000000000000011977,0,0.005
254,1000000000000012003,0,0.008
255,1000000000000012069,0,0.013
256,1000000000000012097,0,0.009
257,1000000000000012111,0,0.009
258,1000000000000012153,0,0.009
259,1000000000000012343,0,0.029
260,1000000000000012439,0,0.021
261,1000000000000012483,0,0.010
262,1000000000000012541,0,0.013
263,1000000000000012559,0,0.009
264,1000000000000012589,0,0.010
265,1000000000000012601,0,0.009
266,1000000000000012831,0,0.036
267,1000000000000012873,0,0.009
268,1000000000000012889,0,0.010
269,1000000000000012901,0,0.009
270,1000000000000012933,0,0.009
271,1000000000000013003,0,0.012
272,1000000000000013029,0,0.011
273,1000000000000013053,0,0.006
274,1000000000000013057,0,0.006
275,1000000000000013059,0,0.008
276,1000000000000013069,0,0.009
277,1000000000000013087,0,0.007
278,1000000000000013231,0,0.024
279,1000000000000013273,0,0.010
280,1000000000000013281,0,0.009
281,1000000000000013371,0,0.019
282,1000000000000013399,0,0.009
283,1000000000000013401,0,0.008
284,1000000000000013447,0,0.010
285,1000000000000013461,0,0.009
286,1000000000000013513,0,0.011
287,1000000000000013563,0,0.010
288,1000000000000013569,0,0.009
289,1000000000000013591,0,0.009
290,1000000000000013651,0,0.013
291,1000000000000013693,0,0.011
292,1000000000000013743,0,0.010
293,1000000000000013777,0,0.008
294,1000000000000013807,0,0.007
295,1000000000000013851,0,0.015
296,1000000000000013899,0,0.013
297,1000000000000013927,0,0.008
298,1000000000000013953,0,0.009
299,1000000000000014029,0,0.017
300,1000000000000014043,0,0.006
301,1000000000000014053,0,0.006
302,1000000000000014071,0,0.009
303,1000000000000014107,0,0.008
304,1000000000000014149,0,0.012
305,1000000000000014193,0,0.010
306,1000000000000014359,0,0.029
307,1000000000000014443,0,0.013
308,1000000000000014449,0,0.008
309,1000000000000014463,0,0.007
310,1000000000000014491,0,0.010
311,1000000000000014499,0,0.010
312,1000000000000014509,0,0.008
313,1000000000000014569,0,0.015
314,1000000000000014581,0,0.009
315,1000000000000014583,0,0.005
316,1000000000000014653,0,0.014
317,1000000000000014863,0,0.028
318,1000000000000014883,0,0.006
319,1000000000000014953,0,0.013
320,1000000000000015019,0,0.015
321,1000000000000015073,0,0.011
322,1000000000000015127,0,0.012
323,1000000000000015129,0,0.008
324,1000000000000015247,0,0.018
325,1000000000000015349,0,0.017
326,1000000000000015373,0,0.010
327,1000000000000015397,0,0.008
328,1000000000000015633,0,0.032
329,1000000000000015811,0,0.030
330,1000000000000015813,0,0.005
331,1000000000000015823,0,0.006
332,1000000000000015843,0,0.007
333,1000000000000015877,0,0.010
334,1000000000000015919,0,0.011
335,1000000000000015967,0,0.009
336,1000000000000015991,0,0.011
337,1000000000000016009,0,0.009
338,1000000000000016021,0,0.009
339,1000000000000016129,0,0.020
340,1000000000000016221,0,0.018
341,1000000000000016231,0,0.008
342,1000000000000016359,0,0.022
343,1000000000000016383,0,0.008
344,1000000000000016479,0,0.020
345,1000000000000016503,0,0.007
346,1000000000000016537,0,0.008
347,1000000000000016563,0,0.007
348,1000000000000016621,0,0.015
349,1000000000000016693,0,0.015
350,1000000000000016779,0,0.015
351,1000000000000016839,0,0.016
352,1000000000000016861,0,0.009
353,1000000000000016867,0,0.006
354,1000000000000016921,0,0.013
355,1000000000000017013,0,0.017
356,1000000000000017017,0,0.006
357,1000000000000017101,0,0.016
358,1000000000000017109,0,0.009
359,1000000000000017119,0,0.008
360,1000000000000017179,0,0.015
361,1000000000000017227,0,0.009
362,1000000000000017323,0,0.015
363,1000000000000017349,0,0.011
364,1000000000000017353,0,0.006
365,1000000000000017431,0,0.015
366,1000000000000017449,0,0.011
367,1000000000000017451,0,0.008
368,1000000000000017509,0,0.013
369,1000000000000017539,0,0.010
370,1000000000000017553,0,0.006
371,1000000000000017589,0,0.014
372,1000000000000017749,0,0.028
373,1000000000000017781,0,0.011
374,1000000000000017799,0,0.009
375,1000000000000017803,0,0.005
376,1000000000000017811,0,0.008
377,1000000000000017881,0,0.014
378,1000000000000017911,0,0.012
379,1000000000000018001,0,0.016
380,1000000000000018021,0,0.011
381,1000000000000018081,0,0.014
382,1000000000000018133,0,0.011
383,1000000000000018169,0,0.011
384,1000000000000018187,0,0.008
385,1000000000000018249,0,0.014
386,1000000000000018331,0,0.018
387,1000000000000018361,0,0.011
388,1000000000000018471,0,0.020
389,1000000000000018517,0,0.010
390,1000000000000018519,0,0.008
391,1000000000000018631,0,0.019
392,1000000000000018637,0,0.006
393,1000000000000018643,0,0.006
394,1000000000000018663,0,0.006
395,1000000000000018727,0,0.015
396,1000000000000018751,0,0.009
397,1000000000000018763,0,0.006
398,1000000000000018781,0,0.009
399,1000000000000018789,0,0.008
400,1000000000000018799,0,0.008
401,1000000000000018817,0,0.007
402,1000000000000018861,0,0.010
403,1000000000000018907,0,0.008
404,1000000000000018949,0,0.012
405,1000000000000018973,0,0.006
406,1000000000000019041,0,0.014
407,1000000000000019069,0,0.009
408,1000000000000019071,0,0.007
409,1000000000000019177,0,0.016
410,1000000000000019261,0,0.015
411,1000000000000019281,0,0.010
412,1000000000000019299,0,0.008
413,1000000000000019329,0,0.010
414,1000000000000019339,0,0.008
415,1000000000000019363,0,0.006
416,1000000000000019401,0,0.011
417,1000000000000019411,0,0.007
418,1000000000000019443,0,0.008
419,1000000000000019519,0,0.015
420,1000000000000019591,0,0.014
421,1000000000000019761,0,0.026
422,1000000000000019839,0,0.014
423,1000000000000019849,0,0.007
424,1000000000000019881,0,0.009
425,1000000000000019897,0,0.006
426,1000000000000019933,0,0.009
427,1000000000000020073,0,0.019
428,1000000000000020191,0,0.017
429,1000000000000020193,0,0.005
430,1000000000000020203,0,0.006
431,1000000000000020241,0,0.012
432,1000000000000020379,0,0.020
433,1000000000000020391,0,0.008
434,1000000000000020451,0,0.014
435,1000000000000020533,0,0.012
436,1000000000000020631,0,0.016
437,1000000000000020647,0,0.006
438,1000000000000020659,0,0.008
439,1000000000000020683,0,0.007
440,1000000000000020739,0,0.011
441,1000000000000020841,0,0.018
442,1000000000000021019,0,0.027
443,1000000000000021021,0,0.007
444,1000000000000021079,0,0.013
445,1000000000000021121,0,0.011
446,1000000000000021123,0,0.005
447,1000000000000021247,0,0.016
448,1000000000000021271,0,0.011
449,1000000000000021343,0,0.012
450,1000000000000021463,0,0.016
451,1000000000000021487,0,0.006
452,1000000000000021549,0,0.012
453,1000000000000021561,0,0.008
454,1000000000000021721,0,0.021
455,1000000000000021751,0,0.010
456,1000000000000021819,0,0.015
457,1000000000000021901,0,0.014
458,1000000000000021907,0,0.005
459,1000000000000021931,0,0.009
460,1000000000000021981,0,0.012
461,1000000000000022159,0,0.026
462,1000000000000022183,0,0.008
463,1000000000000022237,0,0.008
464,1000000000000022299,0,0.016
465,1000000000000022321,0,0.010
466,1000000000000022327,0,0.005
467,1000000000000022363,0,0.008
468,1000000000000022473,0,0.016
469,1000000000000022507,0,0.008
470,1000000000000022597,0,0.014
471,1000000000000022639,0,0.012
472,1000000000000022719,0,0.015
473,1000000000000022741,0,0.008
474,1000000000000022849,0,0.018
475,1000000000000022851,0,0.006
476,1000000000000022869,0,0.008
477,1000000000000022873,0,0.005
478,1000000000000022929,0,0.014
479,1000000000000023059,0,0.020
480,1000000000000023089,0,0.009
481,1000000000000023109,0,0.009
482,1000000000000023193,0,0.012
483,1000000000000023229,0,0.010
484,1000000000000023299,0,0.015
485,1000000000000023317,0,0.006
486,1000000000000023401,0,0.014
487,1000000000000023409,0,0.007
488,1000000000000023439,0,0.011
489,1000000000000023493,0,0.010
490,1000000000000023523,0,0.007
491,1000000000000023527,0,0.005
492,1000000000000023571,0,0.013
493,1000000000000023593,0,0.006
494,1000000000000023619,0,0.010
495,1000000000000023721,0,0.017
496,1000000000000023731,0,0.007
497,1000000000000023739,0,0.009
498,1000000000000023797,0,0.009
499,1000000000000023811,0,0.008
500,1000000000000023829,0,0.009
501,1000000000000023851,0,0.008
